collection_id,accuracy,data_size,n_heel_strike,n_foot_flat,n_heel_off,n_toe_off,label,precision,recall,f1-score,support
VW4ETZE0nhBkRz03N1DK_8_R,0.9158415841584159,202,9,86,29,78,heel strike,1.0,0.4444444444444444,0.6153846153846154,9.0
VW4ETZE0nhBkRz03N1DK_8_R,0.9158415841584159,202,9,86,29,78,foot flat,0.9390243902439024,0.8953488372093024,0.9166666666666666,86.0
VW4ETZE0nhBkRz03N1DK_8_R,0.9158415841584159,202,9,86,29,78,heel off,0.7428571428571429,0.896551724137931,0.8125,29.0
VW4ETZE0nhBkRz03N1DK_8_R,0.9158415841584159,202,9,86,29,78,toe off,0.9629629629629629,1.0,0.9811320754716981,78.0
WNfCgjB7lXJ7imTayxWw_11_L,0.9174311926605505,218,9,85,41,83,heel strike,1.0,0.5555555555555556,0.7142857142857143,9.0
WNfCgjB7lXJ7imTayxWw_11_L,0.9174311926605505,218,9,85,41,83,foot flat,0.9506172839506173,0.9058823529411765,0.927710843373494,85.0
WNfCgjB7lXJ7imTayxWw_11_L,0.9174311926605505,218,9,85,41,83,heel off,0.813953488372093,0.8536585365853658,0.8333333333333334,41.0
WNfCgjB7lXJ7imTayxWw_11_L,0.9174311926605505,218,9,85,41,83,toe off,0.9325842696629213,1.0,0.9651162790697675,83.0
WNfCgjB7lXJ7imTayxWw_12_R,0.9726027397260274,219,0,88,47,84,foot flat,1.0,0.9431818181818182,0.9707602339181286,88.0
WNfCgjB7lXJ7imTayxWw_12_R,0.9726027397260274,219,0,88,47,84,heel off,0.9791666666666666,1.0,0.9894736842105263,47.0
WNfCgjB7lXJ7imTayxWw_12_R,0.9726027397260274,219,0,88,47,84,toe off,1.0,0.9880952380952381,0.9940119760479041,84.0
WNfCgjB7lXJ7imTayxWw_12_R,0.9726027397260274,219,0,88,47,84,micro avg,0.9953271028037384,0.9726027397260274,0.9838337182448037,219.0
WNfCgjB7lXJ7imTayxWw_5_L,0.8878504672897196,214,6,74,44,90,heel strike,1.0,0.3333333333333333,0.5,6.0
WNfCgjB7lXJ7imTayxWw_5_L,0.8878504672897196,214,6,74,44,90,foot flat,0.8043478260869565,1.0,0.891566265060241,74.0
WNfCgjB7lXJ7imTayxWw_5_L,0.8878504672897196,214,6,74,44,90,heel off,0.8333333333333334,0.6818181818181818,0.75,44.0
WNfCgjB7lXJ7imTayxWw_5_L,0.8878504672897196,214,6,74,44,90,toe off,1.0,0.9333333333333333,0.9655172413793104,90.0
WNfCgjB7lXJ7imTayxWw_7_L,0.9565217391304348,207,0,87,39,81,foot flat,1.0,0.9080459770114943,0.9518072289156626,87.0
WNfCgjB7lXJ7imTayxWw_7_L,0.9565217391304348,207,0,87,39,81,heel off,0.95,0.9743589743589743,0.9620253164556962,39.0
WNfCgjB7lXJ7imTayxWw_7_L,0.9565217391304348,207,0,87,39,81,toe off,0.9878048780487805,1.0,0.9938650306748467,81.0
WNfCgjB7lXJ7imTayxWw_7_L,0.9565217391304348,207,0,87,39,81,micro avg,0.9850746268656716,0.9565217391304348,0.9705882352941176,207.0
WQve2PHVQpAGAVuM3spp_4_L,0.9144144144144144,222,0,45,78,99,foot flat,0.7213114754098361,0.9777777777777777,0.8301886792452831,45.0
WQve2PHVQpAGAVuM3spp_4_L,0.9144144144144144,222,0,45,78,99,heel off,0.9838709677419355,0.782051282051282,0.8714285714285714,78.0
WQve2PHVQpAGAVuM3spp_4_L,0.9144144144144144,222,0,45,78,99,toe off,1.0,0.98989898989899,0.9949238578680203,99.0
WQve2PHVQpAGAVuM3spp_4_L,0.9144144144144144,222,0,45,78,99,micro avg,0.918552036199095,0.9144144144144144,0.9164785553047404,222.0
WXV9KsqM8nfXTpUrOuQy_11_R,0.9391304347826087,230,0,91,50,89,foot flat,0.9878048780487805,0.8901098901098901,0.9364161849710982,91.0
WXV9KsqM8nfXTpUrOuQy_11_R,0.9391304347826087,230,0,91,50,89,heel off,0.8214285714285714,0.92,0.8679245283018868,50.0
WXV9KsqM8nfXTpUrOuQy_11_R,0.9391304347826087,230,0,91,50,89,toe off,0.967391304347826,1.0,0.9834254143646409,89.0
WXV9KsqM8nfXTpUrOuQy_4_L,0.9375,240,0,88,46,106,foot flat,0.9072164948453608,1.0,0.9513513513513514,88.0
WXV9KsqM8nfXTpUrOuQy_4_L,0.9375,240,0,88,46,106,heel off,0.8604651162790697,0.8043478260869565,0.8314606741573034,46.0
WXV9KsqM8nfXTpUrOuQy_4_L,0.9375,240,0,88,46,106,toe off,1.0,0.9433962264150944,0.970873786407767,106.0
WXV9KsqM8nfXTpUrOuQy_5_R,0.9658119658119658,234,0,91,47,96,foot flat,0.9375,0.989010989010989,0.9625668449197861,91.0
